Date/Time,Word Count,en,de,fr,it,ru,es
2015.07.17-07.17.14,978,978,0,,,,
2015.07.17-07.30.23,968,968,0,,,,
2015.07.17-07.40.07,948,948,0,,,,
2015.07.17-08.37.07,948,948,0,,,,
2015.07.17-08.43.34,948,948,0,,,,
2015.07.17-09.01.27,443,443,0,,,,
2015.07.17-09.27.54,443,443,0,,,,
2015.07.17-09.39.22,428,428,0,,,,
2015.07.17-09.46.35,365,365,0,,,,
2015.07.17-09.53.15,362,362,0,,,,
2015.07.17-11.22.34,331,331,0,,,,
2015.07.17-11.35.30,324,324,0,,,,
2015.07.17-11.42.16,291,291,0,,,,
2015.07.17-11.43.07,291,291,0,0,0,,
2015.07.17-11.55.22,282,282,0,0,0,,
2015.07.17-11.58.08,282,282,0,0,0,,
2015.07.17-12.09.18,282,282,0,0,0,,
2015.07.17-12.13.20,276,276,0,0,0,0,
2015.07.17-12.21.37,276,276,0,0,0,0,0
2015.07.17-12.25.21,274,274,0,0,0,0,0
2015.07.17-12.30.35,273,273,0,0,0,0,0
2015.07.17-13.55.44,273,273,271,271,271,271,271
2015.07.20-17.27.16,308,308,271,271,271,271,271
2015.07.20-17.28.03,308,308,271,271,271,271,271
2015.08.01-00.21.48,810,810,268,268,268,268,268